epoch,accuracy,loss,val_accuracy,val_loss
0,0.20083102583885193,2.23996901512146,0.30000001192092896,2.043046474456787
1,0.33518004417419434,1.8348662853240967,0.3333333432674408,1.7878894805908203
2,0.349030464887619,1.6859405040740967,0.3333333432674408,1.7107816934585571
3,0.38504156470298767,1.5766379833221436,0.32777777314186096,1.7041594982147217
4,0.41828253865242004,1.5027600526809692,0.3333333432674408,1.6776689291000366
5,0.47922438383102417,1.3731633424758911,0.32777777314186096,1.703508973121643
6,0.509695291519165,1.264286756515503,0.3055555522441864,1.7195641994476318
7,0.5927977561950684,1.1252100467681885,0.31111112236976624,1.738950252532959
8,0.6121883392333984,1.0469553470611572,0.31111112236976624,1.781622290611267
9,0.6495844721794128,0.9852308630943298,0.31111112236976624,1.7717212438583374
